,HR,time
0,76.04,2021-12-17 17:09:24
1,76.02,2021-12-17 17:09:25
2,76.0,2021-12-17 17:09:26
3,75.98,2021-12-17 17:09:27
4,75.93,2021-12-17 17:09:28
5,76.27,2021-12-17 17:09:29
6,75.8,2021-12-17 17:09:30
7,76.12,2021-12-17 17:09:31
8,76.38,2021-12-17 17:09:32
9,76.65,2021-12-17 17:09:33
10,76.72,2021-12-17 17:09:34
11,76.55,2021-12-17 17:09:35
12,76.3,2021-12-17 17:09:36
13,76.05,2021-12-17 17:09:37
14,75.82,2021-12-17 17:09:38
15,75.82,2021-12-17 17:09:39
16,75.77,2021-12-17 17:09:40
17,75.78,2021-12-17 17:09:41
18,75.8,2021-12-17 17:09:42
19,75.87,2021-12-17 17:09:43
20,75.85,2021-12-17 17:09:44
21,75.87,2021-12-17 17:09:45
22,75.87,2021-12-17 17:09:46
23,75.85,2021-12-17 17:09:47
24,75.8,2021-12-17 17:09:48
25,75.8,2021-12-17 17:09:49
26,75.8,2021-12-17 17:09:50
27,75.9,2021-12-17 17:09:51
28,75.97,2021-12-17 17:09:52
29,75.97,2021-12-17 17:09:53
30,75.93,2021-12-17 17:09:54
31,75.88,2021-12-17 17:09:55
32,75.82,2021-12-17 17:09:56
33,75.68,2021-12-17 17:09:57
34,75.55,2021-12-17 17:09:58
35,75.5,2021-12-17 17:09:59
36,75.42,2021-12-17 17:10:00
37,75.13,2021-12-17 17:10:01
38,74.85,2021-12-17 17:10:02
39,74.53,2021-12-17 17:10:03
40,74.22,2021-12-17 17:10:04
41,73.9,2021-12-17 17:10:05
42,73.6,2021-12-17 17:10:06
43,73.08,2021-12-17 17:10:07
44,72.55,2021-12-17 17:10:08
45,72.02,2021-12-17 17:10:09
46,71.5,2021-12-17 17:10:10
47,71.05,2021-12-17 17:10:11
48,70.73,2021-12-17 17:10:12
49,70.48,2021-12-17 17:10:13
50,70.2,2021-12-17 17:10:14
51,69.98,2021-12-17 17:10:15
52,69.73,2021-12-17 17:10:16
53,69.52,2021-12-17 17:10:17
54,69.33,2021-12-17 17:10:18
55,69.15,2021-12-17 17:10:19
56,69.0,2021-12-17 17:10:20
57,68.77,2021-12-17 17:10:21
58,68.53,2021-12-17 17:10:22
59,68.3,2021-12-17 17:10:23
60,68.1,2021-12-17 17:10:24
61,67.92,2021-12-17 17:10:25
62,67.73,2021-12-17 17:10:26
63,67.57,2021-12-17 17:10:27
64,67.42,2021-12-17 17:10:28
65,67.33,2021-12-17 17:10:29
66,67.25,2021-12-17 17:10:30
67,67.17,2021-12-17 17:10:31
68,67.17,2021-12-17 17:10:32
69,67.18,2021-12-17 17:10:33
70,67.25,2021-12-17 17:10:34
71,67.4,2021-12-17 17:10:35
72,67.62,2021-12-17 17:10:36
73,67.88,2021-12-17 17:10:37
74,68.17,2021-12-17 17:10:38
75,68.22,2021-12-17 17:10:39
76,68.32,2021-12-17 17:10:40
77,68.35,2021-12-17 17:10:41
78,68.37,2021-12-17 17:10:42
79,68.37,2021-12-17 17:10:43
80,68.28,2021-12-17 17:10:44
81,68.2,2021-12-17 17:10:45
82,68.12,2021-12-17 17:10:46
83,68.03,2021-12-17 17:10:47
84,67.97,2021-12-17 17:10:48
85,67.93,2021-12-17 17:10:49
86,67.87,2021-12-17 17:10:50
87,67.8,2021-12-17 17:10:51
