,TEMP,time
0,33.79,2022-08-17 13:47:58.250
1,33.79,2022-08-17 13:47:58.500
2,33.79,2022-08-17 13:47:58.750
3,33.79,2022-08-17 13:47:59.000
4,33.79,2022-08-17 13:47:59.250
5,33.79,2022-08-17 13:47:59.500
6,33.79,2022-08-17 13:47:59.750
7,33.79,2022-08-17 13:48:00.000
8,33.79,2022-08-17 13:48:00.250
9,33.79,2022-08-17 13:48:00.500
10,33.79,2022-08-17 13:48:00.750
11,33.79,2022-08-17 13:48:01.000
12,33.79,2022-08-17 13:48:01.250
13,33.79,2022-08-17 13:48:01.500
14,33.79,2022-08-17 13:48:01.750
15,33.81,2022-08-17 13:48:02.000
16,33.81,2022-08-17 13:48:02.250
17,33.81,2022-08-17 13:48:02.500
18,33.81,2022-08-17 13:48:02.750
19,33.81,2022-08-17 13:48:03.000
20,33.81,2022-08-17 13:48:03.250
21,33.81,2022-08-17 13:48:03.500
22,33.81,2022-08-17 13:48:03.750
23,33.79,2022-08-17 13:48:04.000
24,33.79,2022-08-17 13:48:04.250
25,33.79,2022-08-17 13:48:04.500
26,33.79,2022-08-17 13:48:04.750
27,33.81,2022-08-17 13:48:05.000
28,33.81,2022-08-17 13:48:05.250
29,33.81,2022-08-17 13:48:05.500
30,33.81,2022-08-17 13:48:05.750
31,33.79,2022-08-17 13:48:06.000
32,33.79,2022-08-17 13:48:06.250
33,33.79,2022-08-17 13:48:06.500
34,33.79,2022-08-17 13:48:06.750
35,33.81,2022-08-17 13:48:07.000
36,33.81,2022-08-17 13:48:07.250
37,33.81,2022-08-17 13:48:07.500
38,33.81,2022-08-17 13:48:07.750
39,33.79,2022-08-17 13:48:08.000
40,33.79,2022-08-17 13:48:08.250
41,33.79,2022-08-17 13:48:08.500
42,33.79,2022-08-17 13:48:08.750
43,33.77,2022-08-17 13:48:09.000
44,33.77,2022-08-17 13:48:09.250
45,33.77,2022-08-17 13:48:09.500
46,33.77,2022-08-17 13:48:09.750
47,33.79,2022-08-17 13:48:10.000
48,33.79,2022-08-17 13:48:10.250
49,33.79,2022-08-17 13:48:10.500
50,33.79,2022-08-17 13:48:10.750
51,33.79,2022-08-17 13:48:11.000
52,33.79,2022-08-17 13:48:11.250
53,33.79,2022-08-17 13:48:11.500
54,33.79,2022-08-17 13:48:11.750
55,33.79,2022-08-17 13:48:12.000
56,33.79,2022-08-17 13:48:12.250
57,33.79,2022-08-17 13:48:12.500
58,33.79,2022-08-17 13:48:12.750
59,33.77,2022-08-17 13:48:13.000
60,33.77,2022-08-17 13:48:13.250
61,33.77,2022-08-17 13:48:13.500
62,33.77,2022-08-17 13:48:13.750
63,33.77,2022-08-17 13:48:14.000
64,33.77,2022-08-17 13:48:14.250
65,33.77,2022-08-17 13:48:14.500
66,33.77,2022-08-17 13:48:14.750
67,33.77,2022-08-17 13:48:15.000
68,33.77,2022-08-17 13:48:15.250
69,33.77,2022-08-17 13:48:15.500
70,33.77,2022-08-17 13:48:15.750
71,33.77,2022-08-17 13:48:16.000
72,33.77,2022-08-17 13:48:16.250
73,33.77,2022-08-17 13:48:16.500
74,33.77,2022-08-17 13:48:16.750
75,33.77,2022-08-17 13:48:17.000
76,33.77,2022-08-17 13:48:17.250
