,BVP,time
0,-59.38,2022-10-26 16:22:48.625000
1,-47.04,2022-10-26 16:22:48.640625
2,-32.24,2022-10-26 16:22:48.656250
3,-17.55,2022-10-26 16:22:48.671875
4,-5.84,2022-10-26 16:22:48.687500
5,0.87,2022-10-26 16:22:48.703125
6,2.14,2022-10-26 16:22:48.718750
7,-0.79,2022-10-26 16:22:48.734375
8,-5.62,2022-10-26 16:22:48.750000
9,-9.99,2022-10-26 16:22:48.765625
10,-12.23,2022-10-26 16:22:48.781250
11,-11.78,2022-10-26 16:22:48.796875
12,-8.99,2022-10-26 16:22:48.812500
13,-4.64,2022-10-26 16:22:48.828125
14,0.63,2022-10-26 16:22:48.843750
15,6.6,2022-10-26 16:22:48.859375
16,13.32,2022-10-26 16:22:48.875000
17,20.9,2022-10-26 16:22:48.890625
18,29.1,2022-10-26 16:22:48.906250
19,37.41,2022-10-26 16:22:48.921875
20,45.16,2022-10-26 16:22:48.937500
21,51.78,2022-10-26 16:22:48.953125
22,56.98,2022-10-26 16:22:48.968750
23,60.52,2022-10-26 16:22:48.984375
24,62.18,2022-10-26 16:22:49.000000
25,61.58,2022-10-26 16:22:49.015625
26,58.41,2022-10-26 16:22:49.031250
27,52.94,2022-10-26 16:22:49.046875
28,46.38,2022-10-26 16:22:49.062500
29,40.72,2022-10-26 16:22:49.078125
30,38.02,2022-10-26 16:22:49.093750
31,39.45,2022-10-26 16:22:49.109375
32,44.75,2022-10-26 16:22:49.125000
33,52.5,2022-10-26 16:22:49.140625
34,60.69,2022-10-26 16:22:49.156250
35,67.71,2022-10-26 16:22:49.171875
36,72.8,2022-10-26 16:22:49.187500
37,76.31,2022-10-26 16:22:49.203125
38,78.97,2022-10-26 16:22:49.218750
39,81.29,2022-10-26 16:22:49.234375
40,83.26,2022-10-26 16:22:49.250000
41,84.35,2022-10-26 16:22:49.265625
42,84.34,2022-10-26 16:22:49.281250
43,83.34,2022-10-26 16:22:49.296875
44,81.8,2022-10-26 16:22:49.312500
45,80.29,2022-10-26 16:22:49.328125
46,79.68,2022-10-26 16:22:49.343750
47,80.49,2022-10-26 16:22:49.359375
48,82.69,2022-10-26 16:22:49.375000
49,85.53,2022-10-26 16:22:49.390625
50,87.49,2022-10-26 16:22:49.406250
51,87.61,2022-10-26 16:22:49.421875
52,85.29,2022-10-26 16:22:49.437500
53,80.37,2022-10-26 16:22:49.453125
54,73.17,2022-10-26 16:22:49.468750
55,65.3,2022-10-26 16:22:49.484375
56,58.52,2022-10-26 16:22:49.500000
57,53.97,2022-10-26 16:22:49.515625
58,51.82,2022-10-26 16:22:49.531250
59,50.82,2022-10-26 16:22:49.546875
60,50.9,2022-10-26 16:22:49.562500
61,52.46,2022-10-26 16:22:49.578125
62,55.83,2022-10-26 16:22:49.593750
63,60.91,2022-10-26 16:22:49.609375
64,68.23,2022-10-26 16:22:49.625000
65,77.39,2022-10-26 16:22:49.640625
66,86.79,2022-10-26 16:22:49.656250
67,93.85,2022-10-26 16:22:49.671875
68,94.99,2022-10-26 16:22:49.687500
69,89.84,2022-10-26 16:22:49.703125
70,80.0,2022-10-26 16:22:49.718750
71,67.9,2022-10-26 16:22:49.734375
72,56.13,2022-10-26 16:22:49.750000
73,48.64,2022-10-26 16:22:49.765625
74,48.48,2022-10-26 16:22:49.781250
75,56.94,2022-10-26 16:22:49.796875
76,73.1,2022-10-26 16:22:49.812500
77,93.01,2022-10-26 16:22:49.828125
78,114.53,2022-10-26 16:22:49.843750
79,135.83,2022-10-26 16:22:49.859375
80,154.53,2022-10-26 16:22:49.875000
81,156.18,2022-10-26 16:22:49.890625
82,130.99,2022-10-26 16:22:49.906250
83,78.76,2022-10-26 16:22:49.921875
84,11.08,2022-10-26 16:22:49.937500
85,-45.59,2022-10-26 16:22:49.953125
86,-84.81,2022-10-26 16:22:49.968750
87,-107.73,2022-10-26 16:22:49.984375
88,-118.28,2022-10-26 16:22:50.000000
89,-123.05,2022-10-26 16:22:50.015625
90,-125.82,2022-10-26 16:22:50.031250
91,-126.69,2022-10-26 16:22:50.046875
92,-124.37,2022-10-26 16:22:50.062500
93,-117.88,2022-10-26 16:22:50.078125
94,-108.08,2022-10-26 16:22:50.093750
95,-99.05,2022-10-26 16:22:50.109375
96,-92.91,2022-10-26 16:22:50.125000
97,-90.49,2022-10-26 16:22:50.140625
98,-91.65,2022-10-26 16:22:50.156250
99,-95.12,2022-10-26 16:22:50.171875
100,-97.92,2022-10-26 16:22:50.187500
101,-97.54,2022-10-26 16:22:50.203125
102,-93.17,2022-10-26 16:22:50.218750
103,-86.24,2022-10-26 16:22:50.234375
104,-80.65,2022-10-26 16:22:50.250000
105,-78.07,2022-10-26 16:22:50.265625
106,-78.38,2022-10-26 16:22:50.281250
107,-80.27,2022-10-26 16:22:50.296875
108,-81.56,2022-10-26 16:22:50.312500
109,-79.46,2022-10-26 16:22:50.328125
110,-72.13,2022-10-26 16:22:50.343750
111,-59.52,2022-10-26 16:22:50.359375
112,-43.48,2022-10-26 16:22:50.375000
113,-27.6,2022-10-26 16:22:50.390625
114,-14.02,2022-10-26 16:22:50.406250
115,-3.51,2022-10-26 16:22:50.421875
116,4.06,2022-10-26 16:22:50.437500
117,9.49,2022-10-26 16:22:50.453125
