,HR,time
0,67.85,2022-10-26 15:55:37
1,68.35,2022-10-26 15:55:38
2,68.88,2022-10-26 15:55:39
3,69.45,2022-10-26 15:55:40
4,70.08,2022-10-26 15:55:41
5,70.75,2022-10-26 15:55:42
6,71.42,2022-10-26 15:55:43
7,72.07,2022-10-26 15:55:44
8,72.72,2022-10-26 15:55:45
9,73.38,2022-10-26 15:55:46
10,74.03,2022-10-26 15:55:47
11,74.63,2022-10-26 15:55:48
12,75.28,2022-10-26 15:55:49
13,75.92,2022-10-26 15:55:50
14,76.57,2022-10-26 15:55:51
15,77.03,2022-10-26 15:55:52
16,77.5,2022-10-26 15:55:53
17,77.95,2022-10-26 15:55:54
18,78.4,2022-10-26 15:55:55
19,78.73,2022-10-26 15:55:56
20,79.02,2022-10-26 15:55:57
21,79.35,2022-10-26 15:55:58
22,79.65,2022-10-26 15:55:59
23,79.9,2022-10-26 15:56:00
24,80.13,2022-10-26 15:56:01
25,80.28,2022-10-26 15:56:02
26,80.2,2022-10-26 15:56:03
27,80.18,2022-10-26 15:56:04
28,80.22,2022-10-26 15:56:05
29,80.27,2022-10-26 15:56:06
30,80.45,2022-10-26 15:56:07
31,80.6,2022-10-26 15:56:08
32,80.9,2022-10-26 15:56:09
33,81.17,2022-10-26 15:56:10
34,81.47,2022-10-26 15:56:11
35,81.75,2022-10-26 15:56:12
36,82.15,2022-10-26 15:56:13
37,82.47,2022-10-26 15:56:14
38,82.47,2022-10-26 15:56:15
39,82.43,2022-10-26 15:56:16
40,82.4,2022-10-26 15:56:17
41,82.35,2022-10-26 15:56:18
42,82.33,2022-10-26 15:56:19
43,82.28,2022-10-26 15:56:20
44,82.05,2022-10-26 15:56:21
45,81.8,2022-10-26 15:56:22
46,81.58,2022-10-26 15:56:23
47,81.38,2022-10-26 15:56:24
48,81.18,2022-10-26 15:56:25
49,80.95,2022-10-26 15:56:26
50,80.63,2022-10-26 15:56:27
51,80.27,2022-10-26 15:56:28
52,79.85,2022-10-26 15:56:29
53,79.38,2022-10-26 15:56:30
54,78.98,2022-10-26 15:56:31
55,78.57,2022-10-26 15:56:32
56,78.12,2022-10-26 15:56:33
57,77.7,2022-10-26 15:56:34
58,77.35,2022-10-26 15:56:35
59,77.0,2022-10-26 15:56:36
60,76.63,2022-10-26 15:56:37
61,76.32,2022-10-26 15:56:38
62,75.97,2022-10-26 15:56:39
63,75.6,2022-10-26 15:56:40
64,75.18,2022-10-26 15:56:41
65,74.75,2022-10-26 15:56:42
66,74.3,2022-10-26 15:56:43
67,73.83,2022-10-26 15:56:44
68,73.35,2022-10-26 15:56:45
69,72.83,2022-10-26 15:56:46
70,72.33,2022-10-26 15:56:47
71,71.87,2022-10-26 15:56:48
72,71.35,2022-10-26 15:56:49
73,70.82,2022-10-26 15:56:50
74,70.28,2022-10-26 15:56:51
75,69.92,2022-10-26 15:56:52
76,69.58,2022-10-26 15:56:53
77,69.25,2022-10-26 15:56:54
78,68.92,2022-10-26 15:56:55
79,68.58,2022-10-26 15:56:56
80,68.25,2022-10-26 15:56:57
81,67.9,2022-10-26 15:56:58
82,67.63,2022-10-26 15:56:59
83,67.42,2022-10-26 15:57:00
84,67.22,2022-10-26 15:57:01
85,67.02,2022-10-26 15:57:02
86,66.87,2022-10-26 15:57:03
87,66.7,2022-10-26 15:57:04
88,66.53,2022-10-26 15:57:05
89,66.38,2022-10-26 15:57:06
90,66.35,2022-10-26 15:57:07
91,66.4,2022-10-26 15:57:08
92,66.33,2022-10-26 15:57:09
93,66.48,2022-10-26 15:57:10
94,66.58,2022-10-26 15:57:11
95,66.63,2022-10-26 15:57:12
96,66.53,2022-10-26 15:57:13
97,66.52,2022-10-26 15:57:14
98,66.62,2022-10-26 15:57:15
99,66.72,2022-10-26 15:57:16
100,66.72,2022-10-26 15:57:17
101,66.8,2022-10-26 15:57:18
102,66.88,2022-10-26 15:57:19
103,66.92,2022-10-26 15:57:20
104,67.03,2022-10-26 15:57:21
105,67.15,2022-10-26 15:57:22
106,67.35,2022-10-26 15:57:23
107,67.55,2022-10-26 15:57:24
108,67.73,2022-10-26 15:57:25
109,67.95,2022-10-26 15:57:26
110,68.1,2022-10-26 15:57:27
111,68.22,2022-10-26 15:57:28
112,68.27,2022-10-26 15:57:29
113,68.3,2022-10-26 15:57:30
114,68.32,2022-10-26 15:57:31
115,68.37,2022-10-26 15:57:32
116,68.42,2022-10-26 15:57:33
117,68.45,2022-10-26 15:57:34
118,68.47,2022-10-26 15:57:35
119,68.47,2022-10-26 15:57:36
120,68.48,2022-10-26 15:57:37
121,68.47,2022-10-26 15:57:38
122,68.48,2022-10-26 15:57:39
123,68.5,2022-10-26 15:57:40
124,68.43,2022-10-26 15:57:41
125,68.35,2022-10-26 15:57:42
126,68.25,2022-10-26 15:57:43
127,68.18,2022-10-26 15:57:44
128,68.12,2022-10-26 15:57:45
129,68.03,2022-10-26 15:57:46
130,67.95,2022-10-26 15:57:47
131,67.83,2022-10-26 15:57:48
132,67.73,2022-10-26 15:57:49
133,67.58,2022-10-26 15:57:50
134,67.45,2022-10-26 15:57:51
135,67.5,2022-10-26 15:57:52
136,67.48,2022-10-26 15:57:53
137,67.48,2022-10-26 15:57:54
138,67.48,2022-10-26 15:57:55
139,67.5,2022-10-26 15:57:56
140,67.53,2022-10-26 15:57:57
141,67.55,2022-10-26 15:57:58
142,67.57,2022-10-26 15:57:59
143,67.53,2022-10-26 15:58:00
144,67.5,2022-10-26 15:58:01
145,67.47,2022-10-26 15:58:02
146,67.47,2022-10-26 15:58:03
147,67.47,2022-10-26 15:58:04
148,67.45,2022-10-26 15:58:05
149,67.42,2022-10-26 15:58:06
150,67.35,2022-10-26 15:58:07
151,67.25,2022-10-26 15:58:08
152,67.15,2022-10-26 15:58:09
153,67.07,2022-10-26 15:58:10
154,67.02,2022-10-26 15:58:11
155,67.02,2022-10-26 15:58:12
156,67.0,2022-10-26 15:58:13
157,67.0,2022-10-26 15:58:14
158,66.97,2022-10-26 15:58:15
159,66.9,2022-10-26 15:58:16
160,66.92,2022-10-26 15:58:17
161,66.87,2022-10-26 15:58:18
162,66.83,2022-10-26 15:58:19
163,66.88,2022-10-26 15:58:20
164,66.92,2022-10-26 15:58:21
165,66.95,2022-10-26 15:58:22
166,66.88,2022-10-26 15:58:23
167,66.8,2022-10-26 15:58:24
168,66.73,2022-10-26 15:58:25
169,66.63,2022-10-26 15:58:26
170,66.58,2022-10-26 15:58:27
171,66.57,2022-10-26 15:58:28
172,66.62,2022-10-26 15:58:29
173,66.68,2022-10-26 15:58:30
174,66.75,2022-10-26 15:58:31
175,66.77,2022-10-26 15:58:32
176,66.75,2022-10-26 15:58:33
177,66.73,2022-10-26 15:58:34
178,66.75,2022-10-26 15:58:35
179,66.78,2022-10-26 15:58:36
180,66.8,2022-10-26 15:58:37
181,66.85,2022-10-26 15:58:38
182,66.85,2022-10-26 15:58:39
183,66.83,2022-10-26 15:58:40
184,66.88,2022-10-26 15:58:41
185,66.97,2022-10-26 15:58:42
186,67.07,2022-10-26 15:58:43
187,67.18,2022-10-26 15:58:44
188,67.32,2022-10-26 15:58:45
189,67.5,2022-10-26 15:58:46
190,67.68,2022-10-26 15:58:47
191,67.92,2022-10-26 15:58:48
192,68.15,2022-10-26 15:58:49
193,68.47,2022-10-26 15:58:50
194,68.75,2022-10-26 15:58:51
195,68.75,2022-10-26 15:58:52
196,68.8,2022-10-26 15:58:53
197,68.83,2022-10-26 15:58:54
198,68.88,2022-10-26 15:58:55
199,68.9,2022-10-26 15:58:56
200,68.9,2022-10-26 15:58:57
201,68.9,2022-10-26 15:58:58
202,68.88,2022-10-26 15:58:59
203,68.9,2022-10-26 15:59:00
204,68.92,2022-10-26 15:59:01
205,68.95,2022-10-26 15:59:02
206,68.95,2022-10-26 15:59:03
207,69.0,2022-10-26 15:59:04
208,69.07,2022-10-26 15:59:05
209,69.15,2022-10-26 15:59:06
210,69.22,2022-10-26 15:59:07
211,69.25,2022-10-26 15:59:08
212,69.25,2022-10-26 15:59:09
213,69.25,2022-10-26 15:59:10
214,69.23,2022-10-26 15:59:11
215,69.2,2022-10-26 15:59:12
216,69.2,2022-10-26 15:59:13
217,69.17,2022-10-26 15:59:14
218,69.13,2022-10-26 15:59:15
219,69.12,2022-10-26 15:59:16
220,69.08,2022-10-26 15:59:17
221,69.05,2022-10-26 15:59:18
222,69.0,2022-10-26 15:59:19
223,68.93,2022-10-26 15:59:20
224,68.87,2022-10-26 15:59:21
225,68.73,2022-10-26 15:59:22
226,68.58,2022-10-26 15:59:23
227,68.43,2022-10-26 15:59:24
228,68.27,2022-10-26 15:59:25
229,68.13,2022-10-26 15:59:26
230,68.0,2022-10-26 15:59:27
231,67.87,2022-10-26 15:59:28
232,67.72,2022-10-26 15:59:29
233,67.62,2022-10-26 15:59:30
234,67.52,2022-10-26 15:59:31
235,67.55,2022-10-26 15:59:32
236,67.6,2022-10-26 15:59:33
237,67.68,2022-10-26 15:59:34
238,67.72,2022-10-26 15:59:35
239,67.72,2022-10-26 15:59:36
240,67.67,2022-10-26 15:59:37
241,67.62,2022-10-26 15:59:38
242,67.58,2022-10-26 15:59:39
243,67.57,2022-10-26 15:59:40
244,67.58,2022-10-26 15:59:41
245,67.62,2022-10-26 15:59:42
246,67.65,2022-10-26 15:59:43
247,67.67,2022-10-26 15:59:44
248,67.67,2022-10-26 15:59:45
249,67.65,2022-10-26 15:59:46
250,67.63,2022-10-26 15:59:47
251,67.6,2022-10-26 15:59:48
252,67.55,2022-10-26 15:59:49
253,67.47,2022-10-26 15:59:50
254,67.38,2022-10-26 15:59:51
255,67.43,2022-10-26 15:59:52
256,67.47,2022-10-26 15:59:53
257,67.57,2022-10-26 15:59:54
258,67.65,2022-10-26 15:59:55
259,67.75,2022-10-26 15:59:56
260,67.88,2022-10-26 15:59:57
261,68.0,2022-10-26 15:59:58
262,68.13,2022-10-26 15:59:59
263,68.25,2022-10-26 16:00:00
264,68.37,2022-10-26 16:00:01
265,68.45,2022-10-26 16:00:02
266,68.52,2022-10-26 16:00:03
267,68.6,2022-10-26 16:00:04
268,68.67,2022-10-26 16:00:05
269,68.65,2022-10-26 16:00:06
270,68.65,2022-10-26 16:00:07
271,68.63,2022-10-26 16:00:08
272,68.62,2022-10-26 16:00:09
273,68.58,2022-10-26 16:00:10
274,68.57,2022-10-26 16:00:11
275,68.57,2022-10-26 16:00:12
276,68.55,2022-10-26 16:00:13
277,68.6,2022-10-26 16:00:14
278,68.68,2022-10-26 16:00:15
279,68.78,2022-10-26 16:00:16
280,68.92,2022-10-26 16:00:17
281,69.07,2022-10-26 16:00:18
282,69.23,2022-10-26 16:00:19
283,69.3,2022-10-26 16:00:20
284,69.35,2022-10-26 16:00:21
285,69.45,2022-10-26 16:00:22
286,69.53,2022-10-26 16:00:23
287,69.57,2022-10-26 16:00:24
288,69.58,2022-10-26 16:00:25
289,69.55,2022-10-26 16:00:26
290,69.75,2022-10-26 16:00:27
291,69.97,2022-10-26 16:00:28
292,70.2,2022-10-26 16:00:29
293,70.35,2022-10-26 16:00:30
294,70.48,2022-10-26 16:00:31
295,70.53,2022-10-26 16:00:32
296,70.6,2022-10-26 16:00:33
