,TEMP,time
0,32.13,2022-10-28 11:11:42.250
1,32.13,2022-10-28 11:11:42.500
2,32.13,2022-10-28 11:11:42.750
3,32.07,2022-10-28 11:11:43.000
4,32.07,2022-10-28 11:11:43.250
5,32.07,2022-10-28 11:11:43.500
6,32.07,2022-10-28 11:11:43.750
7,32.03,2022-10-28 11:11:44.000
8,32.03,2022-10-28 11:11:44.250
9,32.03,2022-10-28 11:11:44.500
10,32.03,2022-10-28 11:11:44.750
11,31.99,2022-10-28 11:11:45.000
12,31.99,2022-10-28 11:11:45.250
13,31.99,2022-10-28 11:11:45.500
14,31.99,2022-10-28 11:11:45.750
15,32.05,2022-10-28 11:11:46.000
16,32.05,2022-10-28 11:11:46.250
17,32.05,2022-10-28 11:11:46.500
18,32.05,2022-10-28 11:11:46.750
19,32.05,2022-10-28 11:11:47.000
20,32.05,2022-10-28 11:11:47.250
21,32.05,2022-10-28 11:11:47.500
22,32.05,2022-10-28 11:11:47.750
23,32.07,2022-10-28 11:11:48.000
24,32.07,2022-10-28 11:11:48.250
25,32.07,2022-10-28 11:11:48.500
26,32.07,2022-10-28 11:11:48.750
27,32.05,2022-10-28 11:11:49.000
28,32.05,2022-10-28 11:11:49.250
29,32.05,2022-10-28 11:11:49.500
30,32.05,2022-10-28 11:11:49.750
31,32.05,2022-10-28 11:11:50.000
32,32.05,2022-10-28 11:11:50.250
33,32.05,2022-10-28 11:11:50.500
34,32.05,2022-10-28 11:11:50.750
35,32.05,2022-10-28 11:11:51.000
36,32.05,2022-10-28 11:11:51.250
37,32.05,2022-10-28 11:11:51.500
38,32.05,2022-10-28 11:11:51.750
39,32.03,2022-10-28 11:11:52.000
40,32.03,2022-10-28 11:11:52.250
41,32.03,2022-10-28 11:11:52.500
42,32.03,2022-10-28 11:11:52.750
43,32.0,2022-10-28 11:11:53.000
44,32.0,2022-10-28 11:11:53.250
45,32.0,2022-10-28 11:11:53.500
46,32.0,2022-10-28 11:11:53.750
47,32.03,2022-10-28 11:11:54.000
48,32.03,2022-10-28 11:11:54.250
49,32.03,2022-10-28 11:11:54.500
50,32.03,2022-10-28 11:11:54.750
51,32.03,2022-10-28 11:11:55.000
52,32.03,2022-10-28 11:11:55.250
53,32.03,2022-10-28 11:11:55.500
54,32.03,2022-10-28 11:11:55.750
55,32.07,2022-10-28 11:11:56.000
56,32.07,2022-10-28 11:11:56.250
57,32.07,2022-10-28 11:11:56.500
58,32.07,2022-10-28 11:11:56.750
59,32.09,2022-10-28 11:11:57.000
60,32.09,2022-10-28 11:11:57.250
61,32.09,2022-10-28 11:11:57.500
62,32.09,2022-10-28 11:11:57.750
63,32.11,2022-10-28 11:11:58.000
64,32.11,2022-10-28 11:11:58.250
65,32.11,2022-10-28 11:11:58.500
66,32.11,2022-10-28 11:11:58.750
67,32.05,2022-10-28 11:11:59.000
68,32.05,2022-10-28 11:11:59.250
69,32.05,2022-10-28 11:11:59.500
70,32.05,2022-10-28 11:11:59.750
71,32.0,2022-10-28 11:12:00.000
72,32.0,2022-10-28 11:12:00.250
73,32.0,2022-10-28 11:12:00.500
74,32.0,2022-10-28 11:12:00.750
75,31.97,2022-10-28 11:12:01.000
76,31.97,2022-10-28 11:12:01.250
77,31.97,2022-10-28 11:12:01.500
78,31.97,2022-10-28 11:12:01.750
79,31.99,2022-10-28 11:12:02.000
80,31.99,2022-10-28 11:12:02.250
81,31.99,2022-10-28 11:12:02.500
82,31.99,2022-10-28 11:12:02.750
83,31.99,2022-10-28 11:12:03.000
84,31.99,2022-10-28 11:12:03.250
85,31.99,2022-10-28 11:12:03.500
86,31.99,2022-10-28 11:12:03.750
87,31.99,2022-10-28 11:12:04.000
88,31.99,2022-10-28 11:12:04.250
89,31.99,2022-10-28 11:12:04.500
90,31.99,2022-10-28 11:12:04.750
91,31.99,2022-10-28 11:12:05.000
92,31.99,2022-10-28 11:12:05.250
93,31.99,2022-10-28 11:12:05.500
94,31.99,2022-10-28 11:12:05.750
95,31.97,2022-10-28 11:12:06.000
96,31.97,2022-10-28 11:12:06.250
97,31.97,2022-10-28 11:12:06.500
98,31.97,2022-10-28 11:12:06.750
99,31.97,2022-10-28 11:12:07.000
100,31.97,2022-10-28 11:12:07.250
101,31.97,2022-10-28 11:12:07.500
102,31.97,2022-10-28 11:12:07.750
103,31.99,2022-10-28 11:12:08.000
104,31.99,2022-10-28 11:12:08.250
105,31.99,2022-10-28 11:12:08.500
106,31.99,2022-10-28 11:12:08.750
107,31.97,2022-10-28 11:12:09.000
108,31.97,2022-10-28 11:12:09.250
109,31.97,2022-10-28 11:12:09.500
110,31.97,2022-10-28 11:12:09.750
111,32.03,2022-10-28 11:12:10.000
112,32.03,2022-10-28 11:12:10.250
113,32.03,2022-10-28 11:12:10.500
114,32.03,2022-10-28 11:12:10.750
115,32.07,2022-10-28 11:12:11.000
116,32.07,2022-10-28 11:12:11.250
117,32.07,2022-10-28 11:12:11.500
118,32.07,2022-10-28 11:12:11.750
119,32.07,2022-10-28 11:12:12.000
120,32.07,2022-10-28 11:12:12.250
121,32.07,2022-10-28 11:12:12.500
122,32.07,2022-10-28 11:12:12.750
123,32.05,2022-10-28 11:12:13.000
124,32.05,2022-10-28 11:12:13.250
125,32.05,2022-10-28 11:12:13.500
