,HR,time
0,76.33,2021-12-17 16:42:25
1,76.52,2021-12-17 16:42:26
2,76.52,2021-12-17 16:42:27
3,76.58,2021-12-17 16:42:28
4,76.67,2021-12-17 16:42:29
5,76.78,2021-12-17 16:42:30
6,76.9,2021-12-17 16:42:31
7,76.97,2021-12-17 16:42:32
8,77.08,2021-12-17 16:42:33
9,77.22,2021-12-17 16:42:34
10,77.35,2021-12-17 16:42:35
11,77.53,2021-12-17 16:42:36
12,77.72,2021-12-17 16:42:37
13,77.88,2021-12-17 16:42:38
14,78.1,2021-12-17 16:42:39
15,78.32,2021-12-17 16:42:40
16,78.57,2021-12-17 16:42:41
17,78.87,2021-12-17 16:42:42
18,79.2,2021-12-17 16:42:43
19,79.5,2021-12-17 16:42:44
20,79.82,2021-12-17 16:42:45
21,80.17,2021-12-17 16:42:46
22,80.52,2021-12-17 16:42:47
23,80.83,2021-12-17 16:42:48
24,81.17,2021-12-17 16:42:49
25,81.52,2021-12-17 16:42:50
26,81.87,2021-12-17 16:42:51
27,82.23,2021-12-17 16:42:52
28,82.6,2021-12-17 16:42:53
29,82.97,2021-12-17 16:42:54
30,83.35,2021-12-17 16:42:55
31,83.73,2021-12-17 16:42:56
32,84.17,2021-12-17 16:42:57
33,84.58,2021-12-17 16:42:58
34,85.08,2021-12-17 16:42:59
35,85.58,2021-12-17 16:43:00
36,86.05,2021-12-17 16:43:01
37,86.43,2021-12-17 16:43:02
38,86.83,2021-12-17 16:43:03
39,87.2,2021-12-17 16:43:04
40,87.4,2021-12-17 16:43:05
41,87.6,2021-12-17 16:43:06
42,87.78,2021-12-17 16:43:07
43,87.93,2021-12-17 16:43:08
44,88.12,2021-12-17 16:43:09
45,88.28,2021-12-17 16:43:10
46,88.4,2021-12-17 16:43:11
47,88.52,2021-12-17 16:43:12
48,88.63,2021-12-17 16:43:13
49,88.77,2021-12-17 16:43:14
50,88.88,2021-12-17 16:43:15
51,88.83,2021-12-17 16:43:16
52,88.83,2021-12-17 16:43:17
53,88.85,2021-12-17 16:43:18
54,88.85,2021-12-17 16:43:19
55,88.85,2021-12-17 16:43:20
56,88.8,2021-12-17 16:43:21
57,88.83,2021-12-17 16:43:22
58,88.8,2021-12-17 16:43:23
59,88.78,2021-12-17 16:43:24
60,88.78,2021-12-17 16:43:25
61,88.85,2021-12-17 16:43:26
62,89.07,2021-12-17 16:43:27
63,89.22,2021-12-17 16:43:28
64,89.37,2021-12-17 16:43:29
65,89.5,2021-12-17 16:43:30
66,89.55,2021-12-17 16:43:31
67,89.62,2021-12-17 16:43:32
68,89.67,2021-12-17 16:43:33
69,89.67,2021-12-17 16:43:34
70,89.65,2021-12-17 16:43:35
71,89.58,2021-12-17 16:43:36
72,89.65,2021-12-17 16:43:37
73,89.68,2021-12-17 16:43:38
74,89.68,2021-12-17 16:43:39
75,89.62,2021-12-17 16:43:40
76,89.52,2021-12-17 16:43:41
77,89.35,2021-12-17 16:43:42
78,89.2,2021-12-17 16:43:43
79,89.05,2021-12-17 16:43:44
80,88.85,2021-12-17 16:43:45
81,88.65,2021-12-17 16:43:46
82,88.45,2021-12-17 16:43:47
83,88.3,2021-12-17 16:43:48
84,88.13,2021-12-17 16:43:49
85,87.98,2021-12-17 16:43:50
86,87.85,2021-12-17 16:43:51
87,87.73,2021-12-17 16:43:52
88,87.63,2021-12-17 16:43:53
89,87.53,2021-12-17 16:43:54
90,87.42,2021-12-17 16:43:55
91,87.28,2021-12-17 16:43:56
92,87.1,2021-12-17 16:43:57
93,86.88,2021-12-17 16:43:58
94,86.7,2021-12-17 16:43:59
95,86.5,2021-12-17 16:44:00
96,86.32,2021-12-17 16:44:01
97,86.23,2021-12-17 16:44:02
98,86.15,2021-12-17 16:44:03
99,86.1,2021-12-17 16:44:04
100,86.12,2021-12-17 16:44:05
101,86.13,2021-12-17 16:44:06
102,86.17,2021-12-17 16:44:07
103,86.23,2021-12-17 16:44:08
104,86.27,2021-12-17 16:44:09
105,86.32,2021-12-17 16:44:10
106,86.38,2021-12-17 16:44:11
107,86.47,2021-12-17 16:44:12
108,86.55,2021-12-17 16:44:13
109,86.63,2021-12-17 16:44:14
110,86.75,2021-12-17 16:44:15
111,86.93,2021-12-17 16:44:16
112,87.13,2021-12-17 16:44:17
113,87.32,2021-12-17 16:44:18
114,87.52,2021-12-17 16:44:19
115,87.68,2021-12-17 16:44:20
116,87.95,2021-12-17 16:44:21
117,88.12,2021-12-17 16:44:22
118,88.3,2021-12-17 16:44:23
119,88.32,2021-12-17 16:44:24
120,88.3,2021-12-17 16:44:25
121,88.23,2021-12-17 16:44:26
122,88.15,2021-12-17 16:44:27
123,88.05,2021-12-17 16:44:28
124,87.95,2021-12-17 16:44:29
125,87.85,2021-12-17 16:44:30
126,87.82,2021-12-17 16:44:31
127,87.77,2021-12-17 16:44:32
128,87.73,2021-12-17 16:44:33
129,87.75,2021-12-17 16:44:34
130,87.78,2021-12-17 16:44:35
131,87.85,2021-12-17 16:44:36
132,87.82,2021-12-17 16:44:37
133,87.82,2021-12-17 16:44:38
134,87.82,2021-12-17 16:44:39
135,87.85,2021-12-17 16:44:40
136,87.9,2021-12-17 16:44:41
137,87.93,2021-12-17 16:44:42
138,87.93,2021-12-17 16:44:43
139,87.87,2021-12-17 16:44:44
140,87.83,2021-12-17 16:44:45
141,87.8,2021-12-17 16:44:46
142,87.77,2021-12-17 16:44:47
143,87.68,2021-12-17 16:44:48
144,87.63,2021-12-17 16:44:49
145,87.57,2021-12-17 16:44:50
146,87.48,2021-12-17 16:44:51
147,87.37,2021-12-17 16:44:52
148,87.25,2021-12-17 16:44:53
149,87.12,2021-12-17 16:44:54
150,86.97,2021-12-17 16:44:55
151,86.8,2021-12-17 16:44:56
152,86.67,2021-12-17 16:44:57
153,86.57,2021-12-17 16:44:58
154,86.47,2021-12-17 16:44:59
155,86.4,2021-12-17 16:45:00
156,86.37,2021-12-17 16:45:01
157,86.33,2021-12-17 16:45:02
158,86.33,2021-12-17 16:45:03
159,86.37,2021-12-17 16:45:04
160,86.47,2021-12-17 16:45:05
161,86.57,2021-12-17 16:45:06
162,86.67,2021-12-17 16:45:07
163,86.77,2021-12-17 16:45:08
164,86.85,2021-12-17 16:45:09
165,86.82,2021-12-17 16:45:10
166,86.8,2021-12-17 16:45:11
167,86.78,2021-12-17 16:45:12
168,86.75,2021-12-17 16:45:13
169,86.72,2021-12-17 16:45:14
170,86.63,2021-12-17 16:45:15
171,86.53,2021-12-17 16:45:16
172,86.42,2021-12-17 16:45:17
173,86.32,2021-12-17 16:45:18
174,86.23,2021-12-17 16:45:19
