,TEMP,time
0,31.21,2021-12-17 16:11:57.750
1,31.23,2021-12-17 16:11:58.000
2,31.23,2021-12-17 16:11:58.250
3,31.23,2021-12-17 16:11:58.500
4,31.23,2021-12-17 16:11:58.750
5,31.23,2021-12-17 16:11:59.000
6,31.23,2021-12-17 16:11:59.250
7,31.23,2021-12-17 16:11:59.500
8,31.23,2021-12-17 16:11:59.750
9,31.25,2021-12-17 16:12:00.000
10,31.25,2021-12-17 16:12:00.250
11,31.25,2021-12-17 16:12:00.500
12,31.25,2021-12-17 16:12:00.750
13,31.23,2021-12-17 16:12:01.000
14,31.23,2021-12-17 16:12:01.250
15,31.23,2021-12-17 16:12:01.500
16,31.23,2021-12-17 16:12:01.750
17,31.27,2021-12-17 16:12:02.000
18,31.27,2021-12-17 16:12:02.250
19,31.27,2021-12-17 16:12:02.500
20,31.27,2021-12-17 16:12:02.750
21,31.27,2021-12-17 16:12:03.000
22,31.27,2021-12-17 16:12:03.250
23,31.27,2021-12-17 16:12:03.500
24,31.27,2021-12-17 16:12:03.750
25,31.27,2021-12-17 16:12:04.000
26,31.27,2021-12-17 16:12:04.250
27,31.27,2021-12-17 16:12:04.500
28,31.27,2021-12-17 16:12:04.750
29,31.29,2021-12-17 16:12:05.000
30,31.29,2021-12-17 16:12:05.250
31,31.29,2021-12-17 16:12:05.500
32,31.29,2021-12-17 16:12:05.750
33,31.31,2021-12-17 16:12:06.000
34,31.31,2021-12-17 16:12:06.250
35,31.31,2021-12-17 16:12:06.500
36,31.31,2021-12-17 16:12:06.750
37,31.37,2021-12-17 16:12:07.000
38,31.37,2021-12-17 16:12:07.250
39,31.37,2021-12-17 16:12:07.500
40,31.37,2021-12-17 16:12:07.750
41,31.37,2021-12-17 16:12:08.000
42,31.37,2021-12-17 16:12:08.250
43,31.37,2021-12-17 16:12:08.500
44,31.37,2021-12-17 16:12:08.750
45,31.37,2021-12-17 16:12:09.000
46,31.37,2021-12-17 16:12:09.250
47,31.37,2021-12-17 16:12:09.500
48,31.37,2021-12-17 16:12:09.750
49,31.39,2021-12-17 16:12:10.000
50,31.39,2021-12-17 16:12:10.250
51,31.39,2021-12-17 16:12:10.500
52,31.39,2021-12-17 16:12:10.750
53,31.39,2021-12-17 16:12:11.000
54,31.39,2021-12-17 16:12:11.250
55,31.39,2021-12-17 16:12:11.500
56,31.39,2021-12-17 16:12:11.750
57,31.35,2021-12-17 16:12:12.000
58,31.35,2021-12-17 16:12:12.250
59,31.35,2021-12-17 16:12:12.500
60,31.35,2021-12-17 16:12:12.750
61,31.35,2021-12-17 16:12:13.000
62,31.35,2021-12-17 16:12:13.250
63,31.35,2021-12-17 16:12:13.500
64,31.35,2021-12-17 16:12:13.750
