,BVP,time
0,31.03,2022-08-17 13:23:53.000000
1,27.6,2022-08-17 13:23:53.015625
2,23.82,2022-08-17 13:23:53.031250
3,20.28,2022-08-17 13:23:53.046875
4,17.34,2022-08-17 13:23:53.062500
5,15.01,2022-08-17 13:23:53.078125
6,12.99,2022-08-17 13:23:53.093750
7,10.76,2022-08-17 13:23:53.109375
8,7.89,2022-08-17 13:23:53.125000
9,4.2,2022-08-17 13:23:53.140625
10,-0.1,2022-08-17 13:23:53.156250
11,-4.47,2022-08-17 13:23:53.171875
12,-8.26,2022-08-17 13:23:53.187500
13,-10.93,2022-08-17 13:23:53.203125
14,-12.4,2022-08-17 13:23:53.218750
15,-13.06,2022-08-17 13:23:53.234375
16,-13.77,2022-08-17 13:23:53.250000
17,-15.49,2022-08-17 13:23:53.265625
18,-18.98,2022-08-17 13:23:53.281250
19,-24.42,2022-08-17 13:23:53.296875
20,-31.25,2022-08-17 13:23:53.312500
21,-38.29,2022-08-17 13:23:53.328125
22,-44.03,2022-08-17 13:23:53.343750
23,-46.95,2022-08-17 13:23:53.359375
24,-45.9,2022-08-17 13:23:53.375000
25,-40.29,2022-08-17 13:23:53.390625
26,-30.14,2022-08-17 13:23:53.406250
27,-16.0,2022-08-17 13:23:53.421875
28,1.14,2022-08-17 13:23:53.437500
29,19.96,2022-08-17 13:23:53.453125
30,39.0,2022-08-17 13:23:53.468750
31,56.87,2022-08-17 13:23:53.484375
32,72.55,2022-08-17 13:23:53.500000
33,85.74,2022-08-17 13:23:53.515625
34,96.79,2022-08-17 13:23:53.531250
35,106.14,2022-08-17 13:23:53.546875
36,113.47,2022-08-17 13:23:53.562500
37,117.13,2022-08-17 13:23:53.578125
38,114.5,2022-08-17 13:23:53.593750
39,103.17,2022-08-17 13:23:53.609375
40,82.36,2022-08-17 13:23:53.625000
41,53.84,2022-08-17 13:23:53.640625
42,21.64,2022-08-17 13:23:53.656250
43,-9.31,2022-08-17 13:23:53.671875
44,-34.87,2022-08-17 13:23:53.687500
45,-52.97,2022-08-17 13:23:53.703125
46,-63.62,2022-08-17 13:23:53.718750
47,-68.21,2022-08-17 13:23:53.734375
48,-68.31,2022-08-17 13:23:53.750000
49,-65.18,2022-08-17 13:23:53.765625
50,-59.95,2022-08-17 13:23:53.781250
51,-54.32,2022-08-17 13:23:53.796875
52,-50.59,2022-08-17 13:23:53.812500
53,-51.01,2022-08-17 13:23:53.828125
54,-56.5,2022-08-17 13:23:53.843750
55,-65.77,2022-08-17 13:23:53.859375
56,-75.39,2022-08-17 13:23:53.875000
57,-81.05,2022-08-17 13:23:53.890625
58,-79.23,2022-08-17 13:23:53.906250
59,-68.82,2022-08-17 13:23:53.921875
60,-51.67,2022-08-17 13:23:53.937500
61,-31.86,2022-08-17 13:23:53.953125
62,-14.01,2022-08-17 13:23:53.968750
63,-1.65,2022-08-17 13:23:53.984375
64,3.78,2022-08-17 13:23:54.000000
65,2.82,2022-08-17 13:23:54.015625
66,-2.6,2022-08-17 13:23:54.031250
67,-9.92,2022-08-17 13:23:54.046875
68,-16.83,2022-08-17 13:23:54.062500
69,-21.7,2022-08-17 13:23:54.078125
70,-23.67,2022-08-17 13:23:54.093750
71,-22.58,2022-08-17 13:23:54.109375
72,-18.91,2022-08-17 13:23:54.125000
73,-13.87,2022-08-17 13:23:54.140625
74,-9.51,2022-08-17 13:23:54.156250
75,-7.95,2022-08-17 13:23:54.171875
76,-10.25,2022-08-17 13:23:54.187500
77,-16.05,2022-08-17 13:23:54.203125
