,HR,time
0,80.12,2022-10-28 16:02:15
1,80.57,2022-10-28 16:02:16
2,80.7,2022-10-28 16:02:17
3,80.78,2022-10-28 16:02:18
4,80.87,2022-10-28 16:02:19
5,80.93,2022-10-28 16:02:20
6,80.97,2022-10-28 16:02:21
7,81.0,2022-10-28 16:02:22
8,81.02,2022-10-28 16:02:23
9,81.05,2022-10-28 16:02:24
10,81.08,2022-10-28 16:02:25
11,81.12,2022-10-28 16:02:26
12,81.17,2022-10-28 16:02:27
13,81.17,2022-10-28 16:02:28
14,81.23,2022-10-28 16:02:29
15,81.35,2022-10-28 16:02:30
16,81.45,2022-10-28 16:02:31
17,81.53,2022-10-28 16:02:32
18,81.68,2022-10-28 16:02:33
19,81.73,2022-10-28 16:02:34
20,81.78,2022-10-28 16:02:35
21,81.8,2022-10-28 16:02:36
22,81.83,2022-10-28 16:02:37
23,81.87,2022-10-28 16:02:38
24,81.92,2022-10-28 16:02:39
25,82.02,2022-10-28 16:02:40
26,82.13,2022-10-28 16:02:41
27,82.3,2022-10-28 16:02:42
28,82.5,2022-10-28 16:02:43
29,82.73,2022-10-28 16:02:44
30,82.97,2022-10-28 16:02:45
31,83.15,2022-10-28 16:02:46
32,83.28,2022-10-28 16:02:47
33,83.38,2022-10-28 16:02:48
34,83.53,2022-10-28 16:02:49
35,83.67,2022-10-28 16:02:50
36,83.82,2022-10-28 16:02:51
37,84.03,2022-10-28 16:02:52
38,84.23,2022-10-28 16:02:53
39,84.48,2022-10-28 16:02:54
40,84.73,2022-10-28 16:02:55
41,85.03,2022-10-28 16:02:56
42,85.25,2022-10-28 16:02:57
43,85.43,2022-10-28 16:02:58
44,85.6,2022-10-28 16:02:59
45,85.68,2022-10-28 16:03:00
46,85.75,2022-10-28 16:03:01
47,85.78,2022-10-28 16:03:02
48,85.78,2022-10-28 16:03:03
49,85.8,2022-10-28 16:03:04
50,85.8,2022-10-28 16:03:05
51,85.83,2022-10-28 16:03:06
52,85.92,2022-10-28 16:03:07
53,86.02,2022-10-28 16:03:08
54,86.15,2022-10-28 16:03:09
55,86.3,2022-10-28 16:03:10
56,86.43,2022-10-28 16:03:11
57,86.53,2022-10-28 16:03:12
58,86.63,2022-10-28 16:03:13
59,86.72,2022-10-28 16:03:14
60,86.78,2022-10-28 16:03:15
61,86.82,2022-10-28 16:03:16
62,86.87,2022-10-28 16:03:17
63,86.92,2022-10-28 16:03:18
64,86.97,2022-10-28 16:03:19
65,87.02,2022-10-28 16:03:20
66,87.1,2022-10-28 16:03:21
67,87.18,2022-10-28 16:03:22
68,87.28,2022-10-28 16:03:23
69,87.38,2022-10-28 16:03:24
70,87.48,2022-10-28 16:03:25
71,87.57,2022-10-28 16:03:26
72,87.65,2022-10-28 16:03:27
73,87.82,2022-10-28 16:03:28
74,87.92,2022-10-28 16:03:29
75,87.98,2022-10-28 16:03:30
76,88.07,2022-10-28 16:03:31
77,88.15,2022-10-28 16:03:32
78,88.17,2022-10-28 16:03:33
79,88.23,2022-10-28 16:03:34
80,88.32,2022-10-28 16:03:35
81,88.42,2022-10-28 16:03:36
82,88.52,2022-10-28 16:03:37
83,88.58,2022-10-28 16:03:38
84,88.62,2022-10-28 16:03:39
85,88.62,2022-10-28 16:03:40
86,88.57,2022-10-28 16:03:41
87,88.48,2022-10-28 16:03:42
88,88.33,2022-10-28 16:03:43
89,88.18,2022-10-28 16:03:44
90,88.02,2022-10-28 16:03:45
91,87.88,2022-10-28 16:03:46
92,87.75,2022-10-28 16:03:47
93,87.63,2022-10-28 16:03:48
94,87.52,2022-10-28 16:03:49
95,87.42,2022-10-28 16:03:50
96,87.28,2022-10-28 16:03:51
97,87.08,2022-10-28 16:03:52
98,86.92,2022-10-28 16:03:53
99,86.72,2022-10-28 16:03:54
100,86.52,2022-10-28 16:03:55
101,86.32,2022-10-28 16:03:56
102,86.15,2022-10-28 16:03:57
103,86.02,2022-10-28 16:03:58
104,85.92,2022-10-28 16:03:59
105,85.87,2022-10-28 16:04:00
106,85.85,2022-10-28 16:04:01
107,85.85,2022-10-28 16:04:02
108,85.88,2022-10-28 16:04:03
109,85.93,2022-10-28 16:04:04
110,86.0,2022-10-28 16:04:05
111,86.03,2022-10-28 16:04:06
112,86.05,2022-10-28 16:04:07
113,86.03,2022-10-28 16:04:08
114,85.98,2022-10-28 16:04:09
115,85.92,2022-10-28 16:04:10
116,85.85,2022-10-28 16:04:11
117,85.78,2022-10-28 16:04:12
118,85.68,2022-10-28 16:04:13
119,85.58,2022-10-28 16:04:14
120,85.47,2022-10-28 16:04:15
121,85.35,2022-10-28 16:04:16
122,85.22,2022-10-28 16:04:17
123,85.1,2022-10-28 16:04:18
124,84.97,2022-10-28 16:04:19
125,84.87,2022-10-28 16:04:20
126,84.75,2022-10-28 16:04:21
127,84.63,2022-10-28 16:04:22
128,84.52,2022-10-28 16:04:23
129,84.4,2022-10-28 16:04:24
130,84.3,2022-10-28 16:04:25
131,84.2,2022-10-28 16:04:26
132,84.07,2022-10-28 16:04:27
133,83.9,2022-10-28 16:04:28
134,83.73,2022-10-28 16:04:29
135,83.57,2022-10-28 16:04:30
136,83.4,2022-10-28 16:04:31
137,83.25,2022-10-28 16:04:32
138,83.17,2022-10-28 16:04:33
139,83.12,2022-10-28 16:04:34
140,83.07,2022-10-28 16:04:35
141,83.0,2022-10-28 16:04:36
142,82.92,2022-10-28 16:04:37
143,82.87,2022-10-28 16:04:38
144,82.83,2022-10-28 16:04:39
145,82.8,2022-10-28 16:04:40
146,82.78,2022-10-28 16:04:41
147,82.77,2022-10-28 16:04:42
148,82.77,2022-10-28 16:04:43
149,82.77,2022-10-28 16:04:44
150,82.8,2022-10-28 16:04:45
151,82.83,2022-10-28 16:04:46
152,82.9,2022-10-28 16:04:47
153,82.98,2022-10-28 16:04:48
154,83.08,2022-10-28 16:04:49
155,83.17,2022-10-28 16:04:50
156,83.27,2022-10-28 16:04:51
157,83.38,2022-10-28 16:04:52
158,83.5,2022-10-28 16:04:53
159,83.63,2022-10-28 16:04:54
160,83.77,2022-10-28 16:04:55
161,83.9,2022-10-28 16:04:56
162,84.02,2022-10-28 16:04:57
163,84.12,2022-10-28 16:04:58
164,84.2,2022-10-28 16:04:59
165,84.27,2022-10-28 16:05:00
166,84.3,2022-10-28 16:05:01
167,84.33,2022-10-28 16:05:02
168,84.35,2022-10-28 16:05:03
169,84.35,2022-10-28 16:05:04
170,84.35,2022-10-28 16:05:05
171,84.35,2022-10-28 16:05:06
172,84.35,2022-10-28 16:05:07
173,84.37,2022-10-28 16:05:08
174,84.37,2022-10-28 16:05:09
175,84.37,2022-10-28 16:05:10
176,84.37,2022-10-28 16:05:11
177,84.35,2022-10-28 16:05:12
178,84.35,2022-10-28 16:05:13
179,84.35,2022-10-28 16:05:14
180,84.37,2022-10-28 16:05:15
181,84.4,2022-10-28 16:05:16
182,84.45,2022-10-28 16:05:17
183,84.52,2022-10-28 16:05:18
184,84.62,2022-10-28 16:05:19
185,84.68,2022-10-28 16:05:20
186,84.77,2022-10-28 16:05:21
187,84.83,2022-10-28 16:05:22
188,84.88,2022-10-28 16:05:23
189,84.93,2022-10-28 16:05:24
190,85.05,2022-10-28 16:05:25
191,85.2,2022-10-28 16:05:26
192,85.37,2022-10-28 16:05:27
193,85.57,2022-10-28 16:05:28
194,85.78,2022-10-28 16:05:29
195,85.9,2022-10-28 16:05:30
196,86.13,2022-10-28 16:05:31
197,86.28,2022-10-28 16:05:32
198,86.45,2022-10-28 16:05:33
199,86.52,2022-10-28 16:05:34
200,86.55,2022-10-28 16:05:35
201,86.57,2022-10-28 16:05:36
202,86.58,2022-10-28 16:05:37
203,86.55,2022-10-28 16:05:38
204,86.52,2022-10-28 16:05:39
205,86.5,2022-10-28 16:05:40
206,86.5,2022-10-28 16:05:41
207,86.52,2022-10-28 16:05:42
208,86.55,2022-10-28 16:05:43
209,86.6,2022-10-28 16:05:44
210,86.63,2022-10-28 16:05:45
211,86.65,2022-10-28 16:05:46
212,86.65,2022-10-28 16:05:47
213,86.62,2022-10-28 16:05:48
214,86.57,2022-10-28 16:05:49
215,86.52,2022-10-28 16:05:50
216,86.47,2022-10-28 16:05:51
217,86.43,2022-10-28 16:05:52
218,86.4,2022-10-28 16:05:53
219,86.37,2022-10-28 16:05:54
220,86.32,2022-10-28 16:05:55
221,86.25,2022-10-28 16:05:56
222,86.15,2022-10-28 16:05:57
223,86.05,2022-10-28 16:05:58
224,85.93,2022-10-28 16:05:59
225,85.82,2022-10-28 16:06:00
226,85.72,2022-10-28 16:06:01
227,85.63,2022-10-28 16:06:02
228,85.55,2022-10-28 16:06:03
229,85.5,2022-10-28 16:06:04
230,85.45,2022-10-28 16:06:05
231,85.4,2022-10-28 16:06:06
232,85.37,2022-10-28 16:06:07
233,85.33,2022-10-28 16:06:08
234,85.33,2022-10-28 16:06:09
235,85.35,2022-10-28 16:06:10
236,85.38,2022-10-28 16:06:11
237,85.45,2022-10-28 16:06:12
238,85.53,2022-10-28 16:06:13
239,85.62,2022-10-28 16:06:14
240,85.68,2022-10-28 16:06:15
241,85.75,2022-10-28 16:06:16
242,85.8,2022-10-28 16:06:17
243,85.83,2022-10-28 16:06:18
244,85.85,2022-10-28 16:06:19
245,85.87,2022-10-28 16:06:20
246,85.88,2022-10-28 16:06:21
247,85.9,2022-10-28 16:06:22
248,85.93,2022-10-28 16:06:23
249,85.97,2022-10-28 16:06:24
250,85.92,2022-10-28 16:06:25
251,85.85,2022-10-28 16:06:26
252,85.78,2022-10-28 16:06:27
253,85.72,2022-10-28 16:06:28
254,85.65,2022-10-28 16:06:29
255,85.7,2022-10-28 16:06:30
256,85.63,2022-10-28 16:06:31
257,85.63,2022-10-28 16:06:32
258,85.57,2022-10-28 16:06:33
259,85.6,2022-10-28 16:06:34
260,85.67,2022-10-28 16:06:35
261,85.75,2022-10-28 16:06:36
262,85.83,2022-10-28 16:06:37
263,85.95,2022-10-28 16:06:38
264,86.07,2022-10-28 16:06:39
265,86.18,2022-10-28 16:06:40
266,86.28,2022-10-28 16:06:41
267,86.37,2022-10-28 16:06:42
268,86.43,2022-10-28 16:06:43
269,86.47,2022-10-28 16:06:44
270,86.5,2022-10-28 16:06:45
271,86.52,2022-10-28 16:06:46
272,86.53,2022-10-28 16:06:47
273,86.53,2022-10-28 16:06:48
274,86.53,2022-10-28 16:06:49
275,86.53,2022-10-28 16:06:50
276,86.53,2022-10-28 16:06:51
277,86.52,2022-10-28 16:06:52
278,86.48,2022-10-28 16:06:53
279,86.43,2022-10-28 16:06:54
280,86.4,2022-10-28 16:06:55
281,86.37,2022-10-28 16:06:56
282,86.37,2022-10-28 16:06:57
283,86.38,2022-10-28 16:06:58
284,86.42,2022-10-28 16:06:59
285,86.47,2022-10-28 16:07:00
286,86.53,2022-10-28 16:07:01
287,86.58,2022-10-28 16:07:02
288,86.63,2022-10-28 16:07:03
289,86.67,2022-10-28 16:07:04
290,86.7,2022-10-28 16:07:05
291,86.75,2022-10-28 16:07:06
292,86.78,2022-10-28 16:07:07
293,86.82,2022-10-28 16:07:08
294,86.82,2022-10-28 16:07:09
295,86.78,2022-10-28 16:07:10
296,86.73,2022-10-28 16:07:11
297,86.65,2022-10-28 16:07:12
298,86.57,2022-10-28 16:07:13
299,86.52,2022-10-28 16:07:14
300,86.48,2022-10-28 16:07:15
301,86.45,2022-10-28 16:07:16
302,86.42,2022-10-28 16:07:17
303,86.37,2022-10-28 16:07:18
304,86.3,2022-10-28 16:07:19
305,86.22,2022-10-28 16:07:20
306,86.12,2022-10-28 16:07:21
307,86.05,2022-10-28 16:07:22
308,85.98,2022-10-28 16:07:23
309,85.92,2022-10-28 16:07:24
310,85.88,2022-10-28 16:07:25
311,85.87,2022-10-28 16:07:26
312,85.87,2022-10-28 16:07:27
313,85.88,2022-10-28 16:07:28
314,85.88,2022-10-28 16:07:29
315,85.87,2022-10-28 16:07:30
316,85.83,2022-10-28 16:07:31
317,85.78,2022-10-28 16:07:32
318,85.7,2022-10-28 16:07:33
319,85.58,2022-10-28 16:07:34
320,85.48,2022-10-28 16:07:35
321,85.38,2022-10-28 16:07:36
322,85.28,2022-10-28 16:07:37
323,85.18,2022-10-28 16:07:38
324,85.12,2022-10-28 16:07:39
325,85.05,2022-10-28 16:07:40
326,84.98,2022-10-28 16:07:41
