,BVP,time
0,84.77,2022-10-28 16:55:29.343750
1,82.52,2022-10-28 16:55:29.359375
2,77.84,2022-10-28 16:55:29.375000
3,71.65,2022-10-28 16:55:29.390625
4,64.85,2022-10-28 16:55:29.406250
5,58.14,2022-10-28 16:55:29.421875
6,51.97,2022-10-28 16:55:29.437500
7,46.63,2022-10-28 16:55:29.453125
8,42.35,2022-10-28 16:55:29.468750
9,39.4,2022-10-28 16:55:29.484375
10,37.96,2022-10-28 16:55:29.500000
11,38.14,2022-10-28 16:55:29.515625
12,39.71,2022-10-28 16:55:29.531250
13,42.15,2022-10-28 16:55:29.546875
14,44.69,2022-10-28 16:55:29.562500
15,46.51,2022-10-28 16:55:29.578125
16,46.97,2022-10-28 16:55:29.593750
17,45.79,2022-10-28 16:55:29.609375
18,43.07,2022-10-28 16:55:29.625000
19,39.14,2022-10-28 16:55:29.640625
20,34.45,2022-10-28 16:55:29.656250
21,29.34,2022-10-28 16:55:29.671875
22,24.0,2022-10-28 16:55:29.687500
23,18.39,2022-10-28 16:55:29.703125
24,12.26,2022-10-28 16:55:29.718750
25,5.28,2022-10-28 16:55:29.734375
26,-2.81,2022-10-28 16:55:29.750000
27,-12.05,2022-10-28 16:55:29.765625
28,-22.16,2022-10-28 16:55:29.781250
29,-32.6,2022-10-28 16:55:29.796875
30,-42.73,2022-10-28 16:55:29.812500
31,-52.11,2022-10-28 16:55:29.828125
32,-60.65,2022-10-28 16:55:29.843750
33,-68.73,2022-10-28 16:55:29.859375
34,-76.96,2022-10-28 16:55:29.875000
35,-85.94,2022-10-28 16:55:29.890625
36,-95.76,2022-10-28 16:55:29.906250
37,-105.63,2022-10-28 16:55:29.921875
38,-113.85,2022-10-28 16:55:29.937500
39,-118.01,2022-10-28 16:55:29.953125
40,-115.71,2022-10-28 16:55:29.968750
41,-105.33,2022-10-28 16:55:29.984375
42,-86.78,2022-10-28 16:55:30.000000
43,-61.65,2022-10-28 16:55:30.015625
44,-32.88,2022-10-28 16:55:30.031250
45,-3.86,2022-10-28 16:55:30.046875
46,22.53,2022-10-28 16:55:30.062500
47,44.55,2022-10-28 16:55:30.078125
48,61.69,2022-10-28 16:55:30.093750
49,74.18,2022-10-28 16:55:30.109375
50,82.55,2022-10-28 16:55:30.125000
51,87.17,2022-10-28 16:55:30.140625
52,88.41,2022-10-28 16:55:30.156250
53,86.7,2022-10-28 16:55:30.171875
54,82.77,2022-10-28 16:55:30.187500
55,77.57,2022-10-28 16:55:30.203125
56,72.01,2022-10-28 16:55:30.218750
57,66.78,2022-10-28 16:55:30.234375
58,62.22,2022-10-28 16:55:30.250000
59,58.55,2022-10-28 16:55:30.265625
60,55.85,2022-10-28 16:55:30.281250
61,54.2,2022-10-28 16:55:30.296875
62,53.57,2022-10-28 16:55:30.312500
63,53.71,2022-10-28 16:55:30.328125
64,54.14,2022-10-28 16:55:30.343750
65,54.25,2022-10-28 16:55:30.359375
66,53.63,2022-10-28 16:55:30.375000
67,52.14,2022-10-28 16:55:30.390625
68,49.96,2022-10-28 16:55:30.406250
69,47.38,2022-10-28 16:55:30.421875
70,44.68,2022-10-28 16:55:30.437500
71,42.07,2022-10-28 16:55:30.453125
72,39.72,2022-10-28 16:55:30.468750
73,37.8,2022-10-28 16:55:30.484375
74,36.38,2022-10-28 16:55:30.500000
75,35.35,2022-10-28 16:55:30.515625
76,34.25,2022-10-28 16:55:30.531250
77,32.39,2022-10-28 16:55:30.546875
78,29.16,2022-10-28 16:55:30.562500
79,24.36,2022-10-28 16:55:30.578125
80,18.4,2022-10-28 16:55:30.593750
81,12.05,2022-10-28 16:55:30.609375
82,6.14,2022-10-28 16:55:30.625000
83,1.08,2022-10-28 16:55:30.640625
84,-3.25,2022-10-28 16:55:30.656250
85,-7.28,2022-10-28 16:55:30.671875
86,-11.46,2022-10-28 16:55:30.687500
87,-15.91,2022-10-28 16:55:30.703125
88,-20.33,2022-10-28 16:55:30.718750
89,-24.1,2022-10-28 16:55:30.734375
90,-26.51,2022-10-28 16:55:30.750000
91,-26.93,2022-10-28 16:55:30.765625
92,-25.04,2022-10-28 16:55:30.781250
93,-20.78,2022-10-28 16:55:30.796875
94,-14.46,2022-10-28 16:55:30.812500
95,-6.69,2022-10-28 16:55:30.828125
96,1.7,2022-10-28 16:55:30.843750
97,9.79,2022-10-28 16:55:30.859375
98,16.73,2022-10-28 16:55:30.875000
99,21.91,2022-10-28 16:55:30.890625
100,25.0,2022-10-28 16:55:30.906250
101,25.92,2022-10-28 16:55:30.921875
102,24.87,2022-10-28 16:55:30.937500
103,22.21,2022-10-28 16:55:30.953125
104,18.43,2022-10-28 16:55:30.968750
105,14.02,2022-10-28 16:55:30.984375
106,9.4,2022-10-28 16:55:31.000000
107,4.87,2022-10-28 16:55:31.015625
108,0.75,2022-10-28 16:55:31.031250
109,-2.59,2022-10-28 16:55:31.046875
110,-4.66,2022-10-28 16:55:31.062500
111,-5.06,2022-10-28 16:55:31.078125
112,-3.72,2022-10-28 16:55:31.093750
113,-1.1,2022-10-28 16:55:31.109375
114,1.93,2022-10-28 16:55:31.125000
115,4.36,2022-10-28 16:55:31.140625
