Path,Cohort,Trial,Round,Phase,Role,participant_ID,parent/puzzler,team_ID,E4_nr,upset,hostile,alert,ashamed,inspired,nervous,determined,attentive,afraid,active,frustrated,difficulty,BVP_duration,BVP_n,HR_duration,HR_n,EDA_duration,EDA_n,TEMP_duration,TEMP_n
dataset_orig/D1_1/ID_3/round_1/phase1,D1_1,ID_3,round_1,phase1,parent,1.0,0.0,1.0,A03701,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,,0 days 00:07:22.265625,28306,0 days 00:07:21,442,0 days 00:07:22,1769,0 days 00:07:22,1769
dataset_orig/D1_1/ID_3/round_1/phase2,D1_1,ID_3,round_1,phase2,parent,1.0,0.0,1.0,A03701,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0 days 00:05:45.484375,22112,0 days 00:05:44,345,0 days 00:05:45.250000,1382,0 days 00:05:45.250000,1382
dataset_orig/D1_1/ID_3/round_1/phase3,D1_1,ID_3,round_1,phase3,parent,1.0,0.0,1.0,A03701,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,,0 days 00:06:09.078125,23622,0 days 00:06:08,369,0 days 00:06:08.750000,1476,0 days 00:06:08.750000,1476
dataset_orig/D1_1/ID_3/round_2/phase1,D1_1,ID_3,round_2,phase1,parent,1.0,0.0,1.0,A03701,3.0,3.0,1.0,1.0,,1.0,2.0,3.0,4.0,2.0,4.0,,0 days 00:05:04.765625,19506,0 days 00:05:04,305,0 days 00:05:04.500000,1219,0 days 00:05:04.500000,1219
dataset_orig/D1_1/ID_3/round_2/phase2,D1_1,ID_3,round_2,phase2,parent,1.0,0.0,1.0,A03701,3.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,7.0,0 days 00:07:04.781250,27187,0 days 00:07:03,424,0 days 00:07:04.500000,1699,0 days 00:07:04.500000,1699
dataset_orig/D1_1/ID_3/round_2/phase3,D1_1,ID_3,round_2,phase3,parent,1.0,0.0,1.0,A03701,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,,0 days 00:05:05.843750,19575,0 days 00:05:04,305,0 days 00:05:05.500000,1223,0 days 00:05:05.500000,1223
dataset_orig/D1_1/ID_3/round_3/phase1,D1_1,ID_3,round_3,phase1,parent,1.0,0.0,1.0,A03701,2.0,1.0,2.0,1.0,,1.0,3.0,3.0,1.0,2.0,2.0,,0 days 00:04:58.203125,19086,0 days 00:04:58,299,0 days 00:04:58,1193,0 days 00:04:58,1193
dataset_orig/D1_1/ID_3/round_3/phase2,D1_1,ID_3,round_3,phase2,parent,1.0,0.0,1.0,A03701,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,6.0,0 days 00:05:12.375000,19993,0 days 00:05:12,313,0 days 00:05:12.250000,1250,0 days 00:05:12.250000,1250
dataset_orig/D1_1/ID_3/round_3/phase3,D1_1,ID_3,round_3,phase3,parent,1.0,0.0,1.0,A03701,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,,0 days 00:05:05.656250,19563,0 days 00:05:05,306,0 days 00:05:05.500000,1223,0 days 00:05:05.500000,1223
dataset_orig/D1_1/ID_3/round_4/phase1,D1_1,ID_3,round_4,phase1,parent,1.0,0.0,1.0,A03701,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,,0 days 00:05:04.906250,19515,0 days 00:05:04,305,0 days 00:05:04.500000,1219,0 days 00:05:04.500000,1219
dataset_orig/D1_1/ID_3/round_4/phase2,D1_1,ID_3,round_4,phase2,parent,1.0,0.0,1.0,A03701,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,,0 days 00:05:09.734375,19824,0 days 00:05:08,309,0 days 00:05:09.500000,1239,0 days 00:05:09.500000,1239
dataset_orig/D1_1/ID_3/round_4/phase3,D1_1,ID_3,round_4,phase3,parent,1.0,0.0,1.0,A03701,2.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,,0 days 00:05:06.046875,19588,0 days 00:05:05,306,0 days 00:05:05.750000,1224,0 days 00:05:05.750000,1224
dataset_orig/D1_1/ID_8/round_1/phase1,D1_1,ID_8,round_1,phase1,puzzler,2.0,1.0,1.0,A0306B,1.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,,0 days 00:07:24.234375,28432,0 days 00:07:23,444,0 days 00:07:24,1777,0 days 00:07:24,1777
dataset_orig/D1_1/ID_8/round_1/phase2,D1_1,ID_8,round_1,phase2,puzzler,2.0,1.0,1.0,A0306B,1.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,0 days 00:05:43.875000,22009,0 days 00:05:43,344,0 days 00:05:43.750000,1376,0 days 00:05:43.750000,1376
dataset_orig/D1_1/ID_8/round_1/phase3,D1_1,ID_8,round_1,phase3,puzzler,2.0,1.0,1.0,A0306B,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,,0 days 00:06:06.984375,23488,0 days 00:06:06,367,0 days 00:06:06.750000,1468,0 days 00:06:06.750000,1468
